From,To,Distance(Miles)
ORD,SEA,1717
ORD,JFK,739
ORD,MIA,1200
ORD,ATL,607
ORD,CLT,600
ORD,DFW,802
ORD,LAX,1742
ORD,SFO,1842
ORD,DEN,887
SEA,JFK,2415
SEA,MIA,2722
SEA,ATL,2178
SEA,CLT,2275
SEA,DFW,1658
SEA,LAX,955
SEA,SFO,680
SEA,DEN,1023
JFK,MIA,1092
JFK,ATL,760
JFK,CLT,541
JFK,DFW,1389
JFK,LAX,2470
JFK,SFO,2580
JFK,DEN,1622
MIA,ATL,596
MIA,CLT,653
MIA,DFW,1120
MIA,LAX,2338
MIA,SFO,2581
MIA,DEN,1708
ATL,CLT,227
ATL,DFW,730
ATL,LAX,1943
ATL,SFO,2135
ATL,DEN,1198
CLT,DFW,935
CLT,LAX,2121
CLT,SFO,2291
CLT,DEN,1335
DFW,LAX,1233
DFW,SFO,1462
DFW,DEN,642
LAX,SFO,338
LAX,DEN,861
SFO,DEN,965
